Dataset,Removal rule,Removed features,Remaining features,Baseline Accuracy,After removal Accuracy,Delta Accuracy,Baseline Macro-F1,After removal Macro-F1,Delta Macro-F1,Baseline Positive F1,After removal Positive F1,Delta Positive F1,Removed feature ids
SMS Spam,train abs yes-rate gap >= 0.50 or train MI >= 0.10,9,11,0.9710,0.9540,-0.0170,0.9373,0.8919,-0.0455,0.8914,0.8099,-0.0815,mentions_prize_reward_gift; uses_promotional_or_marketing_claim; mentions_money_payment; mentions_financial_gain_or_cost; asks_user_reply_or_call; requests_immediate_action; normal_personal_conversation; uses_casual_emotional_language; refers_previous_conversation
SST-2,train abs yes-rate gap >= 0.50 or train MI >= 0.10,7,13,0.9360,0.7770,-0.1590,0.9349,0.7769,-0.1580,0.9433,0.7816,-0.1617,expresses_positive_emotion; contains_praise; describes_high_quality; expresses_negative_emotion; contains_criticism; mentions_disappointment; describes_low_quality
ADE,train abs yes-rate gap >= 0.50 or train MI >= 0.10,2,18,0.7980,0.7610,-0.0370,0.7577,0.7238,-0.0339,0.6588,0.6224,-0.0364,mentions_adverse_reaction; links_event_to_medication
Disaster Tweets,train abs yes-rate gap >= 0.50 or train MI >= 0.10,6,14,0.8160,0.7650,-0.0510,0.8073,0.7484,-0.0590,0.7665,0.6837,-0.0828,mentions_disaster_type; reports_event_occurrence; describes_threat_or_danger; mentions_location; includes_source_or_report; discusses_non_event_context
