Dataset,Schema,seed,Accuracy,Macro-F1,Positive F1
SMS Spam,original,1,0.971,0.9373258902425056,0.8913857677902621
SMS Spam,original,2,0.971,0.9373258902425056,0.8913857677902621
SMS Spam,original,3,0.971,0.9373258902425056,0.8913857677902621
SMS Spam,alternative,1,0.986,0.967553837453996,0.943089430894309
SMS Spam,alternative,2,0.986,0.967553837453996,0.943089430894309
SMS Spam,alternative,3,0.986,0.967553837453996,0.943089430894309
SST-2,original,1,0.936,0.9349339579673368,0.9432624113475178
SST-2,original,2,0.936,0.9349339579673368,0.9432624113475178
SST-2,original,3,0.936,0.9349339579673368,0.9432624113475178
SST-2,alternative,1,0.889,0.888919021967014,0.8919182083739046
SST-2,alternative,2,0.889,0.888919021967014,0.8919182083739046
SST-2,alternative,3,0.889,0.888919021967014,0.8919182083739046
ADE,original,1,0.798,0.7576589373464373,0.6587837837837838
ADE,original,2,0.798,0.7576589373464373,0.6587837837837838
ADE,original,3,0.798,0.7576589373464373,0.6587837837837838
ADE,alternative,1,0.797,0.7532691833209968,0.6493955094991365
ADE,alternative,2,0.797,0.7532691833209968,0.6493955094991365
ADE,alternative,3,0.797,0.7532691833209968,0.6493955094991365
Disaster Tweets,original,1,0.816,0.8073411402053912,0.766497461928934
Disaster Tweets,original,2,0.816,0.8073411402053912,0.766497461928934
Disaster Tweets,original,3,0.816,0.8073411402053912,0.766497461928934
Disaster Tweets,alternative,1,0.828,0.8194180220813962,0.7800511508951407
Disaster Tweets,alternative,2,0.828,0.8194180220813962,0.7800511508951407
Disaster Tweets,alternative,3,0.828,0.8194180220813962,0.7800511508951407
