Dataset,Source extractor,Target extractor,Train rows,Test rows,Accuracy,Macro-F1,Positive F1,Source in-domain Macro-F1,Delta vs source in-domain,Target in-domain Macro-F1,Delta vs target in-domain
ADE,Qwen Plus,Gemini 2.5 Flash,4000,1000,0.7540,0.7188,0.6192,0.7882,-0.0694,0.7307,-0.0120
ADE,Gemini 2.5 Flash,DeepSeek V4 Flash,4000,1000,0.7970,0.7581,0.6611,0.7307,+0.0274,0.7577,+0.0004
ADE,Gemini 2.5 Flash,GPT-4.1 mini,4000,1000,0.8480,0.7677,0.6311,0.7307,+0.0369,0.7742,-0.0066
ADE,Gemini 2.5 Flash,Qwen Plus,4000,1000,0.8370,0.7944,0.7009,0.7307,+0.0637,0.7882,+0.0063
ADE,Gemini 2.5 Flash,Gemini 2.5 Flash,4000,1000,0.7690,0.7307,0.6292,0.7307,+0.0000,0.7307,+0.0000
Disaster Tweets,DeepSeek V4 Flash,DeepSeek V4 Flash,4000,1000,0.8160,0.8073,0.7665,0.8073,+0.0000,0.8073,+0.0000
Disaster Tweets,DeepSeek V4 Flash,GPT-4.1 mini,4000,1000,0.8030,0.7959,0.7577,0.8073,-0.0115,0.7975,-0.0016
Disaster Tweets,DeepSeek V4 Flash,Qwen Plus,4000,1000,0.8120,0.8063,0.7729,0.8073,-0.0011,0.8101,-0.0038
Disaster Tweets,DeepSeek V4 Flash,Gemini 2.5 Flash,4000,1000,0.8110,0.8075,0.7815,0.8073,+0.0002,0.8130,-0.0055
Disaster Tweets,GPT-4.1 mini,DeepSeek V4 Flash,4000,1000,0.8210,0.8105,0.7660,0.7975,+0.0131,0.8073,+0.0032
Disaster Tweets,GPT-4.1 mini,GPT-4.1 mini,4000,1000,0.8050,0.7975,0.7584,0.7975,+0.0000,0.7975,+0.0000
Disaster Tweets,GPT-4.1 mini,Qwen Plus,4000,1000,0.8120,0.8042,0.7650,0.7975,+0.0067,0.8101,-0.0059
Disaster Tweets,GPT-4.1 mini,Gemini 2.5 Flash,4000,1000,0.8140,0.8107,0.7857,0.7975,+0.0132,0.8130,-0.0023
Disaster Tweets,Qwen Plus,DeepSeek V4 Flash,4000,1000,0.8170,0.8055,0.7583,0.8101,-0.0046,0.8073,-0.0018
Disaster Tweets,Qwen Plus,GPT-4.1 mini,4000,1000,0.8030,0.7940,0.7509,0.8101,-0.0161,0.7975,-0.0035
Disaster Tweets,Qwen Plus,Qwen Plus,4000,1000,0.8170,0.8101,0.7738,0.8101,+0.0000,0.8101,+0.0000
Disaster Tweets,Qwen Plus,Gemini 2.5 Flash,4000,1000,0.8080,0.8045,0.7783,0.8101,-0.0056,0.8130,-0.0085
Disaster Tweets,Gemini 2.5 Flash,DeepSeek V4 Flash,4000,1000,0.8140,0.7989,0.7438,0.8130,-0.0141,0.8073,-0.0084
Disaster Tweets,Gemini 2.5 Flash,GPT-4.1 mini,4000,1000,0.8010,0.7885,0.7371,0.8130,-0.0245,0.7975,-0.0089
Disaster Tweets,Gemini 2.5 Flash,Qwen Plus,4000,1000,0.8120,0.8013,0.7552,0.8130,-0.0117,0.8101,-0.0088
Disaster Tweets,Gemini 2.5 Flash,Gemini 2.5 Flash,4000,1000,0.8190,0.8130,0.7795,0.8130,+0.0000,0.8130,+0.0000
